date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif
2021-06-10;Complet entre 3 mois et 6 mois - sans rappel;7006.2;313.14;54.83;8.63;7.44;2.06;2.0;1.0;1.27;1.27;2033327.36
2021-06-11;Primo dose récente;17853.0;746.3;221.29;73.56;9.91;4.36;3.31;2.17;0.0;0.0;4697753.22
2021-06-11;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81
2021-06-12;Primo dose efficace;26788.89;970.13;130.25;27.87;12.18;8.68;6.61;2.89;4.38;3.0;12543004.34
2021-06-13;Non-vaccinés;16598.8;1272.95;443.13;114.78;116.65;82.78;26.53;19.52;11.68;8.34;36837828.2
2021-06-13;Primo dose récente;2256.85;115.19;31.89;15.98;8.03;2.97;3.55;1.27;0.0;0.0;4633357.0
2021-06-14;Primo dose récente;15130.86;871.29;215.25;100.01;10.3;7.16;2.61;2.0;0.0;0.0;4628317.92
2021-06-15;Non-vaccinés;93056.29;9163.85;2403.37;761.09;139.59;108.04;34.74;24.42;19.86;13.87;36497374.82
2021-06-15;Complet entre 3 mois et 6 mois - sans rappel;7254.04;306.77;44.24;8.44;3.13;2.13;1.0;1.0;3.36;1.35;2217789.33
2021-06-15;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.08;1.88
2021-06-15;Complet de 6 mois ou plus - sans rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.3
2021-06-16;Complet de moins de 3 mois - sans rappel;32792.39;1307.73;268.75;74.99;21.17;17.66;6.19;1.5;3.11;2.11;11782507.78
2021-06-17;Primo dose récente;15446.71;633.12;129.14;50.23;7.78;5.61;0.3;0.12;0.02;0.0;4281224.23
2021-06-18;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.79
2021-06-19;Primo dose récente;8006.96;246.07;63.31;17.0;7.54;5.42;0.17;0.12;0.0;0.0;4004189.72
2021-06-19;Primo dose efficace;27936.8;822.519999999999;126.62;22.84;9.52;8.09;3.04;3.04;5.4;4.4;13087117.53
2021-06-19;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.78
2021-06-20;Non-vaccinés;16990.67;1134.68;320.45;85.45;82.49;60.92;9.55;8.55;11.34;9.34;35027918.28
2021-06-21;Primo dose récente;12135.79;659.81;135.71;55.7;4.79;4.75;3.28;0.0;0.0;0.0;3865180.86
2021-06-22;Non-vaccinés;83124.26;7105.28;1611.68;487.65;98.8;70.84;20.55;14.0;13.5;11.0;34762680.07
2021-06-23;Primo dose efficace;37272.81;1944.26;169.65;41.76;15.45;10.67;4.0;3.0;5.29;4.26;13108921.45
2021-06-24;Complet entre 3 mois et 6 mois - sans rappel;6259.25;322.46;38.73;3.15;6.3;5.28;1.0;1.0;3.25;3.25;2537057.46
2021-06-24;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.77
2021-06-25;Complet entre 3 mois et 6 mois - sans rappel;7809.53;310.67;37.32;4.1;6.56;4.54;0.03;0.03;0.8;0.61;2587859.88
2021-06-26;Primo dose récente;6425.07;238.78;40.0;10.8;0.0;0.0;1.0;0.0;0.0;0.0;3101254.54
2021-06-27;Complet de moins de 3 mois - sans rappel;8972.15;382.56;42.2;8.18;12.58;7.69;1.07;1.0;2.54;2.04;15148686.87
2021-06-28;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.76
2021-06-29;Primo dose efficace;36628.9;2406.08;196.26;73.92;12.52;6.21;2.0;2.0;2.33;0.33;12762049.89
2021-06-30;Complet entre 3 mois et 6 mois - sans rappel;7451.06;388.09;53.97;9.76;7.23;3.1;0.5;0.5;1.25;1.25;2797575.34
2021-07-01;Complet de moins de 3 mois - sans rappel;41003.49;2121.32;339.35;97.31;6.05;3.41;5.6;3.6;2.0;0.0;16432360.8
2021-07-02;Complet de 6 mois ou plus - sans rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;128.14
2021-07-03;Primo dose efficace;28947.38;1109.74;169.43;51.33;6.51;4.27;1.5;1.5;5.39;3.36;12036928.5
2021-07-03;Complet de moins de 3 mois - sans rappel;38330.22;1128.81;264.85;75.61;10.05;7.6;4.33;3.33;1.24;1.2;17237281.84
2021-07-03;Complet entre 3 mois et 6 mois - sans rappel;6012.78;273.73;32.68;5.33;1.25;0.0;0.0;0.0;0.77;0.58;3069777.41
2021-07-04;Primo dose récente;1609.99;67.4;36.92;7.96;1.0;1.0;0.0;0.0;0.0;0.0;2357891.11
2021-07-04;Primo dose efficace;7351.83;349.15;55.05;12.35;6.52;2.58;1.0;1.0;2.0;1.0;11865164.7
2021-07-05;Primo dose efficace;47715.82;2772.45;410.73;157.43;7.0;5.0;1.04;1.04;4.12;3.33;11774421.11
2021-07-05;Complet de 6 mois ou plus - sans rappel;1.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.0;238.12
2021-07-06;Complet de 6 mois ou plus - sans rappel;1.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;278.12
2021-07-07;Primo dose récente;9507.16;529.08;183.97;78.22;3.0;3.0;0.0;0.0;0.0;0.0;2288666.03
2021-07-07;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.73
2021-07-08;Complet de 6 mois ou plus - sans rappel;1.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;443.94
2021-07-11;Primo dose efficace;7018.04;389.57;95.91;39.93;3.9;3.9;0.0;0.0;2.82;1.44;10084231.72
2021-07-11;Complet de moins de 3 mois - sans rappel;13423.46;638.66;192.9;52.67;15.57;8.41;2.75;2.75;1.14;1.14;20078264.14
2021-07-11;Complet de 6 mois ou plus - sans rappel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;828.75
2021-07-11;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.71
2021-07-12;Complet de moins de 3 mois - sans rappel;71828.81;4634.37;1116.71;430.38;10.93;6.21;7.6;5.22;1.0;1.0;20192009.58
2021-07-13;Complet de moins de 3 mois - sans rappel;69435.68;4271.73;1087.89;399.35;19.16;15.66;4.3;3.0;1.0;1.0;20517910.18
2021-07-14;Primo dose efficace;8909.8;575.42;235.81;88.21;7.15;5.5;1.1;1.1;1.4;1.0;9379878.95
2021-07-15;Primo dose efficace;44452.81;3287.61;1056.47;449.76;8.28;4.85;0.13;0.1;0.0;0.0;9111667.81
2021-07-15;Complet - avec rappel de moins de 3 mois;1.3;0.0;0.0;0.0;0.0;0.0;0.21;0.0;0.0;0.0;22.17
2021-07-16;Primo dose récente;14032.21;807.2;518.24;219.94;1.71;1.58;2.15;2.15;0.0;0.0;2445488.02
2021-07-17;Complet de moins de 3 mois - sans rappel;50101.64;2337.63;913.42;312.64;19.32;14.79;4.97;1.71;1.04;1.0;21902918.83
2021-07-17;Complet entre 3 mois et 6 mois - sans rappel;8559.41;559.03;133.78;46.07;9.83;6.77;0.09;0.09;2.19;2.0;4496418.89
2021-07-18;Primo dose efficace;5851.37;448.75;222.8;96.89;8.0;4.64;1.3;1.3;0.0;0.0;8336133.84
2021-07-18;Complet entre 3 mois et 6 mois - sans rappel;3202.89;269.95;49.25;17.22;5.61;4.0;1.67;1.67;0.0;0.0;4590072.67
2021-07-19;Primo dose efficace;37537.16;3614.6;1610.53;763.36;13.31;7.28;8.68;6.67;0.0;0.0;8273016.58000001
2021-07-19;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.0;0.0;0.0;33.9
2021-07-20;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.56
2021-07-22;Complet de 6 mois ou plus - sans rappel;36.74;3.66;2.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5809.56
2021-07-23;Primo dose récente;33039.36;1707.06;1647.12;733.5;8.47;5.89;1.43;1.32;1.0;1.0;3413262.83
2021-07-23;Primo dose efficace;49405.42;2719.85;1572.89;592.21;21.61;14.85;4.53;3.53;1.5;1.5;7274797.01
2021-07-23;Complet de moins de 3 mois - sans rappel;79833.47;5528.52;2493.98;912.1;30.53;20.78;3.88;1.74;3.0;1.0;23402701.15
2021-07-23;Complet de 6 mois ou plus - sans rappel;19.44;2.41;2.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6705.26
2021-07-23;Complet - avec rappel de moins de 3 mois;1.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.66
2021-07-24;Primo dose efficace;23737.24;1346.95;776.84;276.11;13.74;8.19;1.04;1.04;2.06;2.06;6963168.85
2021-07-25;Non-vaccinés;21854.32;2390.87;2080.81;870.49;228.86;167.02;58.78;53.57;12.55;9.55;27325010.39
2021-07-25;Primo dose efficace;5866.39;446.32;252.67;101.1;24.0;16.69;2.73;1.44;1.0;1.0;6764252.73
2021-07-25;Complet entre 3 mois et 6 mois - sans rappel;4183.45;361.12;81.51;30.14;16.86;15.2;5.47;3.22;4.45;4.45;5620228.71
2021-07-25;Complet de 6 mois ou plus - sans rappel;2.78;0.0;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7632.95
2021-07-26;Primo dose récente;24922.1;2488.74;2308.11;1189.01;11.77;9.38;2.57;2.32;0.0;0.0;3777416.56
2021-07-26;Complet de 6 mois ou plus - sans rappel;49.51;2.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7726.81
2021-07-27;Primo dose récente;22334.41;2447.73;1961.9;1060.08;14.02;10.97;4.91;2.47;0.01;0.01;3941790.28
2021-07-27;Primo dose efficace;30175.39;2919.67;1503.44;671.12;26.44;15.3;4.29;3.09;4.21;2.09;6409482.0
2021-07-27;Complet de 6 mois ou plus - sans rappel;47.5;5.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9196.56
2021-07-28;Complet de moins de 3 mois - sans rappel;75117.66;7145.23;3114.7;1259.84;51.95;43.96;9.08;7.51;1.14;1.14;24715953.63
2021-07-28;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.42
2021-07-29;Primo dose efficace;34266.08;2191.46;1232.16;537.56;24.84;17.27;5.07;3.03;1.46;1.15;5932716.73
2021-07-29;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.68
2021-07-29;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
2021-07-30;Non-vaccinés;174737.33;14292.77;13870.19;6061.64;349.74;246.31;111.26;87.13;17.24;13.67;25463849.85
2021-07-30;Complet entre 3 mois et 6 mois - sans rappel;21894.83;1739.1;741.3;282.26;35.82;28.24;8.5;8.5;3.33;3.33;6428927.6
2021-07-30;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.65
2021-07-30;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
2021-07-31;Primo dose récente;22454.74;967.2;1074.4;441.53;21.49;16.18;1.32;1.2;0.0;0.0;4548909.08
2021-07-31;Complet de moins de 3 mois - sans rappel;56674.13;3135.48;1668.4;581.24;47.76;34.4;17.56;14.1;4.6;4.6;25514342.49
2021-08-01;Non-vaccinés;20426.63;2024.45;1951.5;785.41;288.29;195.18;91.82;70.53;19.69;13.62;24724259.92
2021-08-01;Primo dose efficace;5516.28;338.81;210.95;76.33;21.58;12.55;7.03;4.02;2.96;1.03;5643921.49
2021-08-02;Complet de moins de 3 mois - sans rappel;91831.07;8576.87;4598.39;1954.54;47.53;33.86;16.56;14.64;2.13;1.88;25829004.01
2021-08-03;Primo dose efficace;28441.94;2481.45;1342.54;558.15;33.32;19.79;5.43;5.43;5.19;5.08;5562504.65
2021-08-03;Complet de 6 mois ou plus - sans rappel;406.41;48.24;20.26;10.43;0.01;0.01;0.0;0.0;0.0;0.0;74570.43
2021-08-03;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7
2021-08-04;Non-vaccinés;105351.93;14803.1;14242.33;6824.31;406.05;294.35;112.37;96.19;23.52;13.36;23882080.33
2021-08-04;Primo dose efficace;27761.42;2303.71;1256.31;532.84;25.62;18.57;5.02;5.02;1.32;1.25;5547061.21
2021-08-04;Complet de moins de 3 mois - sans rappel;71144.06;7802.8;3631.18;1508.24;74.19;57.5;13.37;10.66;2.22;2.19;26185538.15
2021-08-04;Complet de 6 mois ou plus - sans rappel;655.51;76.38;22.08;10.56;0.03;0.03;0.0;0.0;0.0;0.0;107141.09
2021-08-05;Complet de moins de 3 mois - sans rappel;71926.3;7206.93;3446.19;1426.78;70.94;54.71;16.01;12.87;3.68;3.58;26309814.38
2021-08-05;Complet entre 3 mois et 6 mois - sans rappel;21576.01;2131.0;937.41;353.54;80.65;58.66;7.9;5.82;8.12;6.0;7309192.54
2021-08-06;Non-vaccinés;143344.55;13276.99;13905.89;6126.25;392.34;276.17;142.26;110.57;31.25;22.41;23139121.34
2021-08-06;Primo dose récente;42906.92;2184.02;2068.34;1034.95;28.2;22.86;15.92;10.28;0.66;0.66;4536234.61
2021-08-06;Primo dose efficace;46478.35;2204.02;1306.22;473.27;32.96;25.35;4.28;4.28;5.4;5.32;5656680.18
2021-08-06;Complet de 6 mois ou plus - sans rappel;991.73;103.65;46.8;12.59;1.01;1.01;0.0;0.0;0.0;0.0;188882.94
2021-08-06;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.56
2021-08-08;Complet entre 3 mois et 6 mois - sans rappel;5376.89;462.13;203.27;68.97;51.24;39.74;6.82;5.32;13.19;5.83;7843006.22
2021-08-09;Complet entre 3 mois et 6 mois - sans rappel;29945.7;2637.99;1610.91;641.09;75.31;57.53;11.7;10.51;18.26;13.79;7891971.8
2021-08-09;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19;0.19;0.88
2021-08-09;Complet - avec rappel de 6 mois ou plus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-08-10;Primo dose efficace;40977.14;2434.61;1432.9;588.27;32.81;22.55;9.28;8.17;2.13;2.03;5850873.52
2021-08-10;Complet entre 3 mois et 6 mois - sans rappel;25607.25;2494.83;1315.18;470.41;86.8;58.34;10.76;8.78;12.27;7.53;8096351.97999999
2021-08-10;Complet de 6 mois ou plus - sans rappel;1507.46;140.33;110.01;23.79;4.81;4.64;2.0;2.0;1.75;1.05;289800.34
2021-08-10;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.78
2021-08-11;Non-vaccinés;113503.83;13246.27;14080.97;6562.26;489.52;345.58;133.3;105.97;38.78;27.49;21942142.37
2021-08-11;Complet de 6 mois ou plus - sans rappel;1912.39;155.38;94.15;37.21;5.3;4.23;1.01;1.01;0.76;0.55;357318.27
2021-08-12;Complet de moins de 3 mois - sans rappel;62284.39;6657.74;3698.85;1560.82;93.9;60.65;18.41;16.95;3.96;3.84;26719909.4
2021-08-12;Complet entre 3 mois et 6 mois - sans rappel;22875.89;2352.31;1275.36;460.08;77.4;52.0;23.44;17.55;14.36;12.81;8507613.0
2021-08-13;Primo dose récente;42846.46;1702.68;1733.16;796.08;30.8;23.9;8.41;6.21;1.01;1.0;3779809.63
2021-08-13;Complet entre 3 mois et 6 mois - sans rappel;24772.63;2135.13;1273.38;468.06;77.15;56.55;15.24;13.4;12.16;8.66;8491684.62
2021-08-13;Complet de 6 mois ou plus - sans rappel;3154.0;222.68;150.87;39.42;2.22;2.22;1.02;1.02;0.17;0.0;520730.43
2021-08-13;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.88
2021-08-14;Primo dose efficace;33286.7;1145.0;844.67;277.32;29.46;16.63;6.93;6.38;2.32;2.19;6445547.75
2021-08-14;Complet de moins de 3 mois - sans rappel;44653.85;3117.91;2093.13;799.13;82.53;51.41;16.01;13.12;8.29;6.26;27060069.24
2021-08-14;Complet de 6 mois ou plus - sans rappel;1186.09;129.8;54.96;22.39;5.45;4.45;0.01;0.01;0.87;0.0;590798.21
2021-08-14;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.98
2021-08-15;Complet de moins de 3 mois - sans rappel;13832.37;1068.62;647.24;225.99;60.26;43.26;16.57;13.32;7.33;6.53;27153170.7
2021-08-16;Complet de moins de 3 mois - sans rappel;75454.62;8546.13000000001;5295.9;2344.51;95.81;67.3;24.44;18.44;9.54;8.06;27192418.57
2021-08-16;Complet entre 3 mois et 6 mois - sans rappel;30731.47;2735.46;1650.19;662.84;81.63;62.84;13.86;10.54;10.33;10.14;8743393.26
2021-08-16;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.88
2021-08-17;Primo dose efficace;41905.33;2620.45;1461.05;616.54;39.7;31.84;10.99;7.4;11.76;4.89;6567943.85
2021-08-17;Complet de 6 mois ou plus - sans rappel;3911.66;330.28;166.25;65.82;8.01;4.92;1.54;1.54;0.2;0.03;688035.85
2021-08-18;Primo dose récente;20887.62;1382.21;1160.77;569.93;27.17;21.6;6.94;6.02;0.07;0.06;3080443.66
2021-08-18;Complet de moins de 3 mois - sans rappel;57265.05;7817.87;3654.58;1650.95;93.28;70.66;13.58;10.94;8.47;4.52;27451549.26
2021-08-18;Complet entre 3 mois et 6 mois - sans rappel;23798.45;2452.51;1152.28;436.7;78.95;61.16;16.36;14.32;23.86;22.56;8938634.35
2021-08-19;Primo dose récente;24365.63;1217.65;1116.92;534.89;29.29;25.16;5.7;2.46;0.01;0.01;2907859.14
2021-08-19;Complet entre 3 mois et 6 mois - sans rappel;22697.05;2344.97;1114.16;430.79;65.16;48.43;13.74;10.42;12.91;12.91;9021181.29
2021-08-20;Primo dose récente;27326.06;1086.78;1006.34;436.86;18.77;11.42;8.25;5.39;0.0;0.0;2744731.74
2021-08-21;Complet de moins de 3 mois - sans rappel;41039.16;3490.8;1992.54;760.23;70.37;49.22;20.45;17.18;7.51;3.94;27797113.09
2021-08-21;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.25
2021-08-22;Primo dose récente;2317.01;152.71;137.74;55.18;21.6;16.16;8.2;7.6;1.02;1.02;2487467.58
2021-08-22;Complet de moins de 3 mois - sans rappel;12212.99;1170.08;586.82;213.24;81.0;52.33;17.01;15.18;6.77;3.72;27910644.56
2021-08-22;Complet entre 3 mois et 6 mois - sans rappel;5186.19;494.3;190.95;79.36;61.84;47.42;11.69;11.63;18.74;17.72;9316960.04
2021-08-22;Complet de 6 mois ou plus - sans rappel;875.11;137.31;46.26;19.69;15.5;15.41;1.1;1.1;5.43;5.43;1101160.69
2021-08-22;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.23
2021-08-23;Non-vaccinés;110935.49;13754.67;15105.87;7016.44;442.85;309.98;110.25;82.86;66.67;43.12;19871901.0
2021-08-23;Primo dose récente;20239.36;1258.46;1191.67;618.37;25.19;17.55;8.26;8.1;1.04;1.04;2450052.5
2021-08-23;Complet de moins de 3 mois - sans rappel;73373.24;9381.74000000001;5012.5;2318.19;95.62;66.97;29.74;23.85;7.37;7.24;27939527.5
2021-08-23;Complet entre 3 mois et 6 mois - sans rappel;33016.41;3082.16;1649.74;722.43;104.07;74.29;14.65;9.83;14.6;11.3;9337186.39999999
2021-08-24;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.66
2021-08-25;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.78
2021-08-26;Primo dose récente;14234.7;773.93;600.47;279.56;19.51;12.29;3.85;3.81;0.02;0.02;2090144.36
2021-08-26;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;0.78
2021-08-27;Complet - avec rappel de moins de 3 mois;2.42;0.0;0.0;0.0;0.0;0.0;0.66;0.0;0.0;0.0;60.98
2021-08-27;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.24;0.0;0.0;0.0;0.9
2021-08-28;Primo dose efficace;24362.46;925.69;515.03;201.04;27.22;21.27;3.24;2.03;6.25;4.25;6235989.55000001
2021-08-28;Complet de moins de 3 mois - sans rappel;41623.0;3433.34;1677.96;618.38;65.22;43.29;17.48;10.98;7.49;6.83;28699951.08
2021-08-29;Primo dose efficace;5293.89;306.94;163.2;57.48;26.29;21.55;6.32;5.11;3.07;2.67;6121141.44
2021-08-29;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.01
2021-08-30;Primo dose récente;13349.6;738.84;625.73;293.92;16.42;13.65;2.38;1.38;0.0;0.0;1812894.45
2021-08-31;Complet entre 3 mois et 6 mois - sans rappel;29841.72;2958.86;1114.32;463.28;78.7;56.45;15.57;11.1;11.75;10.38;10397886.46
2021-08-31;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.97
2021-08-31;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.65
2021-09-01;Primo dose récente;7997.1;528.71;386.96;187.47;16.31;15.13;2.49;0.2;0.02;0.02;1668490.38
2021-09-01;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.94
2021-09-02;Primo dose efficace;25867.19;1424.12;663.49;239.2;24.27;21.77;9.38;9.38;8.58;4.53;5489515.03
2021-09-02;Complet entre 3 mois et 6 mois - sans rappel;23290.23;2641.86;958.59;379.35;65.64;44.55;23.28;18.27;11.44;8.29;10839034.08
2021-09-03;Non-vaccinés;85133.0700000001;7497.46;6552.74;2703.32;310.43;231.64;99.11;75.31;60.87;36.91;18540590.65
2021-09-03;Primo dose récente;11311.96;494.59;313.29;129.07;10.35;6.78;2.09;1.09;2.01;2.01;1534477.66
2021-09-03;Complet - avec rappel de moins de 3 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.9
2021-09-03;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.65
2021-09-04;Non-vaccinés;48642.79;3841.39;3697.1;1381.82;235.64;167.88;82.71;64.9;53.32;30.51;18424690.65
2021-09-04;Complet de moins de 3 mois - sans rappel;44649.15;3527.45;1403.3;572.18;60.77;44.86;17.49;9.23;6.52;5.19;29297958.39
2021-09-05;Primo dose récente;1404.56;76.92;64.13;19.88;6.88;5.23;3.1;3.1;0.0;0.0;1455201.83
2021-09-05;Complet de 6 mois ou plus - sans rappel;1416.18;127.31;56.07;18.32;11.24;8.97;0.52;0.0;8.26;5.12;1848410.5
2021-09-05;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.64
2021-09-06;Primo dose récente;9413.6;530.49;392.02;179.85;12.5;7.31;5.06;4.75;1.39;0.0;1444911.05
2021-09-06;Complet - avec rappel entre 3 mois et 6 mois;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.64
2021-09-07;Non-vaccinés;64098.27;8167.84;5924.45;2508.74;255.6;182.33;71.36;57.08;55.41;40.54;18243801.73
2021-09-07;Complet de moins de 3 mois - sans rappel;57055.15;7543.63;2099.73;901.56;55.26;38.05;19.92;18.44;5.58;3.87;29418488.68
