date;vac_statut;age;nb_PCR;nb_PCR_sympt;nb_PCR+_sympt;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif;PCR+_pourcent_omicron;PCR+_sympt_pourcent_omicron;HC_pourcent_omicron;SC_pourcent_omicron;DC_pourcent_omicron;HC_PCR+_pour_covid;SC_PCR+_pour_covid;DC_PCR+_pour_covid
2021-06-03;Primo dose récente;[60,79];1281.52;81.29;11.79;34.5;3.26;2.61;0.41;0.0;0.08;0.08;607156.91;3.59;5.9;100;NA;NA;2.61;0.0;0.08
2021-06-03;Non-vaccinés;"[80;+]";3503.24;254.36;33.97;120.1;39.3;27.61;1.67;1.67;14.23;9.6;872764.45;17.25;15.22;33.4;100;NA;25.4;1.67;9.6
2021-06-03;Primo dose récente;"[80;+]";287.29;14.81;1.17;5.79;3.03;1.55;0.0;0.0;0.0;0.0;78458.64;48.78;NA;100;NA;NA;1.55;0.0;0.0
2021-06-03;Complet - avec rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.83;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-03;Complet de 6 mois ou plus - sans rappel;[60,79];0.02;0.02;0.02;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0;0;NA;NA;NA;0.0;0.0;0.0
2021-06-04;Primo dose récente;[0,19];1068.27;52.27;5.51;19.83;0.06;0.06;0.05;0.0;0.0;0.0;207008.21;22.95;5.14;0;NA;NA;0.06;0.0;0.0
2021-06-04;Complet de moins de 3 mois - sans rappel;[20,39];5995.62;269.82;28.41;102.87;1.29;1.2;0.08;0.0;0.0;0.0;850886.87;27.6;37.27;NA;NA;NA;0.08;0.0;0.0
2021-06-04;Non-vaccinés;[40,59];31780.9;2417.37;459.37;1270.42;89.77;69.25;24.05;20.05;1.0;1.0;8641358.79;26.82;28.42;27.27;0;NA;66.25;19.05;1.0
2021-06-04;Primo dose efficace;[40,59];17239.15;780.74;39.75;135.79;1.6;1.0;1.34;1.34;0.0;0.0;4292161.53;18.7;37;NA;NA;NA;1.0;1.34;0.0
2021-06-04;Primo dose récente;[60,79];1753.52;75.65;14.52;41.48;3.0;1.45;1.62;0.11;0.0;0.0;574430.94;33.71;47.49;NA;0;NA;1.45;0.11;0.0
2021-06-04;Primo dose efficace;[60,79];15902.29;770.4;21.72;83.03;11.16;10.03;2.23;1.36;1.62;0.62;4783436.37;25.72;25;75;0;NA;10.03;1.36;0.58
2021-06-04;Complet de moins de 3 mois - sans rappel;[60,79];18123.15;595.29;52.21;197.19;10.86;8.05;5.17;2.11;1.04;1.04;4723761.23;34.95;22.63;0;90.09;NA;7.05;0.11;1.0
2021-06-04;Non-vaccinés;"[80;+]";3558.15;269.17;21.9;109.42;46.53;36.79;2.82;1.82;8.71;6.58;863646.5;41.39;36.4;35.19;100;NA;34.5;1.82;6.58
2021-06-04;Primo dose récente;"[80;+]";324.98;20.94;1.31;6.24;2.06;1.81;0.0;0.0;0.0;0.0;76160.26;0;NA;0;NA;NA;1.81;0.0;0.0
2021-06-05;Non-vaccinés;[20,39];28726.55;1896.66;385.87;1028.27;35.46;26.67;8.58;6.83;0.67;0.67;11113302.27;29.83;33.24;45.57;0;NA;16.78;6.83;0.67
2021-06-05;Primo dose efficace;[20,39];5090.61;249.91;5.3;30.42;0.19;0.14;0.22;0.07;0.06;0.06;1822729.24;22.89;7.53;100;NA;NA;0.14;0.07;0.06
2021-06-05;Complet de moins de 3 mois - sans rappel;[40,59];5006.45;172.64;31.59;101.39;3.09;1.04;2.05;2.0;0.0;0.0;2004923.75;29.25;25.64;100;100;NA;1.04;2.0;0.0
2021-06-05;Non-vaccinés;[60,79];7094.67;358.11;50.04;207.0;50.32;38.32;18.66;10.3;5.66;5.66;3331531.31;28.03;28.18;34.58;66.67;NA;36.32;9.65;5.66
2021-06-05;Non-vaccinés;"[80;+]";2233.72;149.47;13.82;73.6;21.04;14.67;4.31;2.83;11.37;7.99;855419.46;22.21;42.19;66.67;54.64;NA;12.67;2.83;7.99
2021-06-06;Primo dose récente;[0,19];125.7;9.8;1.39;1.61;0.0;0.0;0.0;0.0;0.0;0.0;218124.67;40.91;52.94;NA;NA;NA;0.0;0.0;0.0
2021-06-06;Primo dose efficace;[20,39];1436.34;70.29;6.35;13.73;1.24;1.2;1.0;0.0;0.0;0.0;1925630.83;47.26;65.27;NA;NA;NA;1.2;0.0;0.0
2021-06-06;Complet de moins de 3 mois - sans rappel;[20,39];744.39;32.02;2.82;8.86;0.2;0.2;0.09;0.0;0.0;0.0;899354.32;47.32;56.3;NA;NA;NA;0.2;0.0;0.0
2021-06-06;Non-vaccinés;[40,59];3936.62;290.16;64.87;166.07;44.02;25.0;13.58;10.8;1.48;0.48;8338188.38;27.81;37.27;30;26.32;NA;25.0;10.8;0.0
2021-06-06;Primo dose récente;[40,59];688.2;41.69;5.88;16.12;2.0;1.0;0.07;0.0;0.02;0.02;2030006.04;49.38;47.6;NA;NA;NA;1.0;0.0;0.0
2021-06-06;Complet entre 3 mois et 6 mois - sans rappel;[40,59];203.05;12.31;0.07;1.27;0.0;0.0;0.0;0.0;0.14;0.14;395486.08;0;0;NA;NA;NA;0.0;0.0;0.0
2021-06-06;Primo dose efficace;[60,79];2194.55;131.31;6.02;21.77;5.43;4.64;1.38;1.0;3.49;3.23;4643017.98;38.52;41.18;NA;NA;100;4.64;1.0;3.23
2021-06-06;Non-vaccinés;"[80;+]";1264.85;134.22;10.23;41.45;26.08;19.89;5.58;2.76;11.54;9.88;851551.29;38.24;66.67;63.26;0;0;19.89;2.76;8.88
2021-06-06;Primo dose récente;"[80;+]";85.57;8.15;0.29;0.37;1.45;1.0;0.0;0.0;0.0;0.0;74474.99;NA;NA;NA;NA;NA;1.0;0.0;0.0
2021-06-06;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";720.78;69.26;2.26;9.78;1.52;1.1;0.18;0.09;1.22;1.0;714067.16;80.86;NA;NA;0;NA;1.1;0.09;1.0
2021-06-07;Primo dose récente;[0,19];787.46;72.41;8.22;18.14;0.0;0.0;0.03;0.03;0.0;0.0;219551.64;43.1;62;NA;NA;NA;0.0;0.03;0.0
2021-06-07;Complet entre 3 mois et 6 mois - sans rappel;[0,19];8.11;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1168.02;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-07;Primo dose récente;[20,39];7566.0;574.61;80.7;187.34;1.26;1.0;0.0;0.0;0.0;0.0;1883951.97;29.47;23.13;NA;NA;NA;0.0;0.0;0.0
2021-06-07;Primo dose efficace;[20,39];10117.9;743.72;34.0;83.14;5.02;3.8;0.0;0.0;0.0;0.0;1982960.23;21.16;18;100;NA;NA;2.25;0.0;0.0
2021-06-07;Complet de moins de 3 mois - sans rappel;[40,59];9650.28;465.48;90.85;244.0;2.8;1.08;0.18;0.0;0.0;0.0;2064105.43;36.49;44.33;NA;NA;NA;1.08;0.0;0.0
2021-06-07;Non-vaccinés;[60,79];13158.56;737.91;125.15;441.58;65.17;43.7;25.04;22.4;12.4;9.63;3304474.56;39.87;38.67;67.8;28.5;NA;42.95;21.4;9.63
2021-06-07;Primo dose efficace;[60,79];17349.59;763.22;35.65;110.53;10.95;8.07;7.77;6.57;2.01;0.97;4635202.0;28.53;22.12;50;80.32;NA;7.07;5.57;0.97
2021-06-07;Complet de moins de 3 mois - sans rappel;[60,79];21518.51;698.51;64.9;248.18;10.71;7.19;5.24;5.16;0.29;0.25;4952277.48;35.25;33.35;20.63;81.85;NA;6.94;5.16;0.25
2021-06-07;Complet entre 3 mois et 6 mois - sans rappel;[60,79];3464.93;106.0;5.97;21.86;1.4;1.25;0.45;0.45;1.3;1.15;656882.2;3.06;NA;100;100;0;1.25;0.45;1.15
2021-06-07;Non-vaccinés;"[80;+]";4545.75;242.13;24.37;123.19;42.91;32.05;7.13;5.31;8.74;6.49;850426.41;34.97;65.21;53.38;12.88;0;27.76;3.94;5.49
2021-06-07;Primo dose récente;"[80;+]";394.66;18.46;1.29;3.81;0.66;0.66;0.0;0.0;0.0;0.0;74148.39;5.22;77.78;0;NA;NA;0.66;0.0;0.0
2021-06-07;Primo dose efficace;"[80;+]";3183.45;144.36;2.56;32.63;11.0;10.01;2.02;2.02;3.41;1.84;638093.75;24.28;7.89;11.98;42.86;NA;7.87;1.78;1.84
2021-06-07;Complet de 6 mois ou plus - sans rappel;"[80;+]";0.01;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0;0;NA;NA;NA;0.0;0.0;0.0
2021-06-08;Non-vaccinés;[0,19];39932.26;5999.9;312.0;1246.93;12.75;9.75;0.0;0.0;0.0;0.0;15633516.64;30.17;30.12;100;NA;NA;7.0;0.0;0.0
2021-06-08;Primo dose récente;[0,19];656.61;55.89;8.71;14.08;0.0;0.0;0.0;0.0;0.0;0.0;226679.45;32.84;39.92;NA;NA;NA;0.0;0.0;0.0
2021-06-08;Primo dose efficace;[0,19];526.98;38.53;0.2;2.16;0.25;0.25;0.0;0.0;0.0;0.0;164332.97;19.61;50;NA;NA;NA;0.0;0.0;0.0
2021-06-08;Primo dose efficace;[20,39];8848.74;692.92;11.87;52.44;1.0;1.0;0.0;0.0;0.0;0.0;2058162.55;43.8;41.81;NA;NA;NA;1.0;0.0;0.0
2021-06-08;Non-vaccinés;[40,59];23534.95;2194.92;382.06;959.43;62.16;49.89;16.9;10.9;0.0;0.0;8169153.4;29.62;28.36;20.71;38.78;NA;47.39;10.9;0.0
2021-06-08;Primo dose récente;[40,59];4838.11;381.97;41.07;95.14;4.92;4.65;0.05;0.05;0.0;0.0;2005780.41;31.93;22.21;47.39;100;NA;4.65;0.05;0.0
2021-06-08;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2633.48;100.63;2.54;9.17;1.52;1.52;0.0;0.0;0.15;0.15;678064.96;21.8;5.66;NA;NA;NA;1.52;0.0;0.15
2021-06-08;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";3128.29;131.29;3.31;30.51;4.12;3.5;1.09;1.0;1.59;1.2;738515.65;44.56;0;NA;100;NA;3.5;1.0;1.2
2021-06-08;Complet - avec rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-09;Primo dose récente;[0,19];744.66;48.25;4.18;8.84;0.0;0.0;0.0;0.0;0.0;0.0;233755.18;33.48;33.14;NA;NA;NA;0.0;0.0;0.0
2021-06-09;Complet de moins de 3 mois - sans rappel;[0,19];159.75;13.08;0.0;1.51;0.0;0.0;0.0;0.0;0.0;0.0;40398.95;27.27;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-09;Complet entre 3 mois et 6 mois - sans rappel;[0,19];7.88;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1248.87;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-09;Non-vaccinés;[20,39];39558.39;3767.89;502.06;1241.6;36.93;27.8;2.88;2.0;1.0;1.0;10575408.09;32.54;29.98;30;0;0;17.0;2.0;1.0
2021-06-09;Complet de moins de 3 mois - sans rappel;[20,39];4705.03;241.63;23.89;72.07;1.0;0.0;1.0;0.0;0.0;0.0;966315.33;33.7;20.51;NA;NA;NA;0.0;0.0;0.0
2021-06-09;Non-vaccinés;[40,59];22642.32;1937.52;305.63;799.27;55.92;41.51;13.33;9.65;3.44;2.72;8026310.36;30.93;35;25.48;0;0;36.76;8.65;2.72
2021-06-09;Primo dose efficace;[40,59];14628.09;745.66;24.88;95.25;2.93;1.61;1.37;1.25;0.22;0.11;4782153.29;15.96;10.26;77.78;80;NA;1.61;1.25;0.11
2021-06-09;Primo dose récente;[60,79];1121.53;51.48;2.82;17.92;3.26;0.66;2.71;2.0;0.0;0.0;525960.1;58.24;0;0;NA;NA;0.66;2.0;0.0
2021-06-09;Primo dose efficace;[60,79];10632.04;539.46;13.33;66.23;5.49;5.33;2.12;1.0;3.33;3.0;4439428.06;41.63;23.09;100;100;0;5.33;1.0;3.0
2021-06-09;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2344.9;86.25;2.15;12.02;0.16;0.08;0.0;0.0;0.0;0.0;701826.88;3.14;0;NA;NA;NA;0.08;0.0;0.0
2021-06-09;Primo dose récente;"[80;+]";303.71;8.48;0.0;1.24;1.73;1.4;0.0;0.0;0.0;0.0;75328.7;NA;NA;NA;NA;NA;1.4;0.0;0.0
2021-06-09;Complet entre 3 mois et 6 mois - sans rappel;"[80;+]";2734.57;121.21;3.21;23.59;4.96;4.54;0.09;0.0;2.83;2.23;762901.36;50.72;9.5;8.26;NA;100;4.21;0.0;2.23
2021-06-09;Complet - avec rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-10;Complet de moins de 3 mois - sans rappel;[0,19];196.25;11.56;0.17;3.89;0.07;0.0;0.0;0.0;0.0;0.0;42632.88;3.65;100;NA;NA;NA;0.0;0.0;0.0
2021-06-10;Non-vaccinés;[40,59];22678.0;1743.52;256.57;706.94;42.57;34.88;9.15;7.09;2.92;2.92;7885101.83;39.94;45.21;6.47;41.31;NA;32.21;7.09;2.92
2021-06-10;Primo dose récente;[60,79];1075.67;55.32;5.53;12.69;10.34;3.27;2.88;1.61;0.0;0.0;510705.41;19.68;57.26;100;0;NA;3.27;1.61;0.0
2021-06-10;Primo dose efficace;"[80;+]";1845.56;100.42;0.86;18.32;7.32;5.17;0.11;0.0;3.9;3.42;613553.15;54.08;0;52.04;NA;0;3.17;0.0;3.42
2021-06-10;Complet de moins de 3 mois - sans rappel;"[80;+]";4176.79;270.41;2.95;38.34;5.95;2.39;0.11;0.0;3.91;2.32;1827027.74;34.9;0;12.66;NA;0;2.39;0.0;2.32
2021-06-11;Primo dose récente;[0,19];923.55;34.8;5.9;16.12;0.0;0.0;0.0;0.0;0.0;0.0;249527.39;48.35;3.56;NA;NA;NA;0.0;0.0;0.0
2021-06-11;Complet entre 3 mois et 6 mois - sans rappel;[20,39];599.05;27.27;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;111645.46;40;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-11;Complet - avec rappel de moins de 3 mois;[20,39];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-11;Non-vaccinés;[40,59];25932.07;1589.89;245.33;794.74;59.65;41.59;16.59;13.31;4.4;3.4;7740566.88;39.77;43.43;31.26;56.18;NA;40.72;12.31;3.4
2021-06-11;Primo dose efficace;[40,59];18261.65;678.88;18.27;94.73;4.7;3.86;3.3;2.12;1.6;0.6;5004396.86;41.71;53.98;9.3;0;NA;2.82;2.12;0.6
2021-06-11;Complet entre 3 mois et 6 mois - sans rappel;[40,59];1707.19;61.5;0.37;10.7;1.09;1.09;0.01;0.0;0.0;0.0;425274.6;42.96;21.88;NA;NA;NA;1.09;0.0;0.0
2021-06-11;Complet de moins de 3 mois - sans rappel;[60,79];17025.7;536.25;16.71;119.06;8.43;5.58;3.12;3.0;2.07;2.0;5437360.12;42.14;21.9;66.67;100;NA;5.58;3.0;2.0
2021-06-11;Complet entre 3 mois et 6 mois - sans rappel;[60,79];2742.86;98.31;1.61;8.13;0.95;0.2;0.18;0.17;0.0;0.0;751158.67;6.52;NA;NA;NA;NA;0.2;0.17;0.0
2021-06-11;Complet de moins de 3 mois - sans rappel;"[80;+]";5235.38;239.22;5.37;38.22;14.02;11.29;1.0;1.0;0.56;0.25;1817035.94;34.54;100;33.33;NA;NA;10.29;1.0;0.25
2021-06-12;Primo dose récente;[0,19];455.1;18.18;2.38;6.8;0.06;0.06;0.0;0.0;0.0;0.0;256128.36;91.53;94.64;NA;NA;NA;0.06;0.0;0.0
2021-06-12;Primo dose efficace;[0,19];445.76;13.84;1.14;3.73;0.56;0.0;0.17;0.17;0.0;0.0;216413.76;63.13;92.59;NA;NA;NA;0.0;0.17;0.0
2021-06-12;Non-vaccinés;[40,59];14418.88;743.01;123.04;418.31;40.09;31.2;14.09;12.59;0.4;0.4;7595750.76;43.17;44.47;62.57;26.35;NA;26.58;12.59;0.4
2021-06-12;Primo dose efficace;[40,59];10037.58;355.99;16.23;48.07;4.06;2.22;1.85;0.35;0.6;0.6;5094636.25;42.11;52.43;45.45;0;NA;2.12;0.35;0.6
2021-06-12;Primo dose récente;[60,79];879.07;32.03;4.83;9.16;3.12;1.08;1.3;1.25;0.0;0.0;471245.37;6.52;7.21;0;NA;NA;1.08;1.25;0.0
2021-06-12;Primo dose récente;"[80;+]";168.94;15.48;1.0;4.04;1.43;1.17;0.0;0.0;0.0;0.0;70728.6;100;100;100;NA;NA;1.17;0.0;0.0
2021-06-12;Primo dose efficace;"[80;+]";1462.75;84.73;3.08;11.77;2.96;1.87;0.0;0.0;1.59;1.08;596148.0;69.23;100;24.81;NA;0;1.87;0.0;1.08
2021-06-13;Non-vaccinés;[0,19];3294.11;511.98;16.83;85.56;5.0;2.0;0.0;0.0;0.0;0.0;15519602.04;59.43;36.36;50;NA;NA;1.0;0.0;0.0
2021-06-13;Non-vaccinés;[20,39];6677.35;375.62;52.42;157.97;26.25;19.96;4.0;3.0;0.0;0.0;9923900.89;38.28;35.05;22.32;NA;NA;15.96;3.0;0.0
2021-06-13;Non-vaccinés;[60,79];1982.71;118.21;9.61;62.87;32.66;18.13;8.88;6.19;3.0;2.0;3091036.51;45.77;58.85;53.49;0;0;16.13;6.19;2.0
2021-06-13;Non-vaccinés;"[80;+]";1159.71;103.2;4.44;24.22;12.32;11.32;1.25;1.0;7.94;5.5;814186.0;73.68;100;71.43;100;0;8.32;1.0;5.5
2021-06-13;Complet - avec rappel de moins de 3 mois;[60,79];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.79;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-14;Complet entre 3 mois et 6 mois - sans rappel;[0,19];9.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1484.47;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-14;Complet entre 3 mois et 6 mois - sans rappel;[20,39];581.12;26.24;1.19;4.8;0.0;0.0;0.0;0.0;0.0;0.0;116825.41;52.08;100;NA;NA;NA;0.0;0.0;0.0
2021-06-14;Complet de moins de 3 mois - sans rappel;[40,59];10171.92;376.13;54.37;147.81;2.7;1.37;0.29;0.2;0.0;0.0;2508502.21;56.99;46.97;100;100;NA;0.37;0.2;0.0
2021-06-14;Primo dose efficace;[60,79];14082.07;540.53;14.83;73.35;7.69;6.33;1.72;1.51;0.59;0.0;4018842.54;61.36;45.44;58.44;7.86;NA;6.19;1.51;0.0
2021-06-14;Non-vaccinés;"[80;+]";4118.05;186.55;10.68;82.15;16.06;10.93;5.99;4.0;5.36;4.69;813214.05;58.95;81.4;100;50;53.05;10.0;4.0;4.69
2021-06-14;Complet de moins de 3 mois - sans rappel;"[80;+]";7178.27;229.13;7.17;39.54;8.74;7.0;2.0;2.0;2.5;2.5;1816294.56;44.88;44.55;66.67;NA;21.26;5.0;2.0;2.5
2021-06-15;Non-vaccinés;[0,19];29420.07;4113.88;168.62;632.68;8.79;5.79;3.0;1.0;0.0;0.0;15495007.8;62.31;66.5;100;100;NA;4.79;1.0;0.0
2021-06-15;Primo dose efficace;[0,19];701.46;40.64;1.15;5.37;0.21;0.21;0.0;0.0;0.0;0.0;249016.2;45.74;100;100;NA;NA;0.21;0.0;0.0
2021-06-15;Complet entre 3 mois et 6 mois - sans rappel;[0,19];10.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1516.6;NA;NA;NA;NA;NA;0.0;0.0;0.0
2021-06-15;Primo dose récente;[20,39];6039.8;415.19;28.03;84.82;1.44;1.24;0.0;0.0;0.0;0.0;2005915.92;60.43;66.54;NA;NA;NA;1.24;0.0;0.0
2021-06-15;Primo dose efficace;[20,39];10423.09;641.28;11.88;53.0;1.28;1.11;0.0;0.0;0.0;0.0;2759586.38;45.27;40.03;100;NA;NA;1.11;0.0;0.0
2021-06-15;Complet de moins de 3 mois - sans rappel;[20,39];4504.75;247.53;15.69;61.11;1.53;1.4;0.0;0.0;0.0;0.0;1138311.58;49.14;38.79;0;NA;NA;1.4;0.0;0.0
2021-06-15;Complet entre 3 mois et 6 mois - sans rappel;[20,39];491.91;20.82;1.15;4.01;0.0;0.0;0.0;0.0;0.0;0.0;118735.73;58.97;100;NA;NA;NA;0.0;0.0;0.0
2021-06-15;Primo dose efficace;[60,79];9873.71;415.88;3.32;46.66;5.08;4.94;1.93;1.75;2.0;2.0;3897157.7;57.14;72.2;48.98;0;50;3.57;1.75;2.0
